Site_ID,Location_ID,country,Sample_ID,Date,Laboratory,Contact_NAme,Contact_email,Paper_code,Latitude,Longitude,Soil_typ,Horizon,Veg_typ,D_min,D_max,D_ave,Bulk_den,Bulk_den_e,LOI,SOC_inst,SOC,SOC_err,STHg_inst,STHg,STHg_err,RHgC,RHgC_err,VWC,VWC_err,Notes,Extractor,Range Flag,Outlier Flag
"Klondike_Region_Central_Yukon",Yukon,CANADA,0,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,0,1,0.5,0,-999,1,LOI,45.185928,-999,DMA,64.8,-999,0.143407,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,2,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,2,3,2.5,0,-999,1,LOI,41.17226,-999,DMA,88.99,-999,0.216141,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,4,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,4,5,4.5,0,-999,1,LOI,30.869426,-999,DMA,96.66,-999,0.313125,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,6,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,6,7,6.5,0,-999,1,LOI,44.508145,-999,DMA,109.74,-999,0.246562,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,8,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,8,9,8.5,0,-999,1,LOI,45.134774,-999,DMA,123.33,-999,0.273248,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,10,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,10,11,10.5,0,-999,1,LOI,45.290856,-999,DMA,134.74,-999,0.297499,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,12,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,12,13,12.5,0,-999,1,LOI,45.271549,-999,DMA,139.96,-999,0.309157,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,14,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,14,15,14.5,0,-999,1,LOI,44.938215,-999,DMA,102.7,-999,0.228536,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,16,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,16,17,16.5,0,-999,1,LOI,45.086615,-999,DMA,110.19,-999,0.244396,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,18,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,18,19,18.5,0,-999,1,LOI,45.033476,-999,DMA,91,-999,0.202072,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,20,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,20,21,20.5,0,-999,1,LOI,45.193745,-999,DMA,85.42,-999,0.189008,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,22,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,22,23,22.5,0,-999,1,LOI,45.010837,-999,DMA,69.26,-999,0.153874,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,24,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,24,25,24.5,0,-999,1,LOI,43.569989,-999,DMA,77.89,-999,0.17877,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,26,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,26,27,26.5,0,-999,1,LOI,28.678921,-999,DMA,63.28,-999,0.22065,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,28,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,28,29,28.5,0,-999,0,LOI,17.148082,-999,DMA,70.63,-999,0.411883,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,30,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,30,31,30.5,0,-999,0,LOI,21.358913,-999,DMA,59.86,-999,0.280258,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,32,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,32,33,32.5,0,-999,1,LOI,44.88591,-999,DMA,46.5,-999,0.103596,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,34,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,34,35,34.5,0,-999,1,LOI,44.258991,-999,DMA,47.66,-999,0.107684,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,36,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,36,37,36.5,0,-999,1,LOI,44.434753,-999,DMA,54.75,-999,0.123214,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,38,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,38,39,38.5,0,-999,1,LOI,42.024091,-999,DMA,42.67,-999,0.101537,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,40,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,40,41,40.5,0,-999,1,LOI,45.134774,-999,DMA,54.13,-999,0.11993,-999,-999,-999,NA,LT,0,0
"Klondike_Region_Central_Yukon",Yukon,CANADA,42,2016-05-25,"Biogeochemical_Analytical_Service_Laboratory,_University_of_Alberta",Sasiri_Bandara,sasiri.bandara@ualberta.ca,Bandara_2019,64.038417,-138.839722,Histosol,NA,NA,42,43,42.5,0,-999,1,LOI,44.950807,-999,DMA,63.37,-999,0.140976,-999,-999,-999,NA,LT,0,0
