Core_ID,Site_ID,Location_ID,Country,Sample_ID,Date,Laboratory,Contact_name,Contact_email,Paper_code,Latitude,Longitude,Veg_spec_common,Veg_species_sci,Veg_typ,AGB,THg_inst,THg,THg_err,Notes,Collector,Component,Range Flag,Outlier Flag
Norway_9_77_11.5,9,Sbitsbergen,Norway,9,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,woolly moss,Racomitrium lanuginosum,Tundra,-999,AMA,40,-999,NA,LS,NA,0,1
Norway_10_77_11.5,10,Sbitsbergen,Norway,10,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,Sickle-leaved Hook-moss,Sanionia uncinata,Tundra,-999,AMA,50,-999,NA,LS,NA,0,1
Norway_11_77_11.5,11,Sbitsbergen,Norway,11,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,straw spear-moss,Straminergon stramineum,Tundra,-999,AMA,40,-999,NA,LS,NA,0,1
Norway_12_77_11.5,12,Sbitsbergen,Norway,12,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,Slender Cruet-moss,Tetraplodon mnioides,Tundra,-999,AMA,20,-999,NA,LS,NA,0,1
Norway_13_77_11.5,13,Sbitsbergen,Norway,13,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,twiggy spear-moss,Warnstorfia sarmentosa,Tundra,-999,AMA,40,-999,NA,LS,NA,0,1
Norway_3_77_11.5,3,Sbitsbergen,Norway,3,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,Crinkled snow lichen,Flavocetraria nivalis,Tundra,-999,AMA,40,-999,NA,LS,NA,0,1
Norway_4_77_11.5,4,Sbitsbergen,Norway,4,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,Snow-bed Iceland lichen,Cetrariella delisei,Tundra,-999,AMA,80,-999,NA,LS,NA,0,1
Norway_5_77_11.5,5,Sbitsbergen,Norway,5,7/1/2011,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_Institute_of_Botany_Wroclaw_University_Poland,Aleksandra_Samecka_Cymerman,sameckaa@biol.uni.wroc.pl,Wotjun_2013,77,15.55,reindeer cup lichen,Cladonia rangiferina,Tundra,-999,NA,-999,-999,NA,NA,NA,0,1
Norway_SanioniaUncinata_78.22_15.63,SanioniaUnicinata,Sbitsbergen,Norway,SanioniaUnicinata,6/16/2016,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_institute_of_Botany_Wroclaw_Poland,Aleksandra_Samecka_Cymerman,aleksandra.samecka-cymerman@uwr.edu.pl,Wotjun2019,78.22,15.63,moss,Sanionia uncinata,tundra,-999,AMA,40,10,leaf,LS,NA,0,1
Norway_SalixPolarisLeaf_78.22_15.63,SalixPolarisLeaf,Sbitsbergen,Norway,SalixPolarisLeaf,6/16/2016,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_institute_of_Botany_Wroclaw_Poland,Aleksandra_Samecka_Cymerman,aleksandra.samecka-cymerman@uwr.edu.pl,Wotjun2019,78.22,15.63,shrub,Salix polaris,tundra,-999,AMA,8,3,leaf,LS,NA,0,1
Norway_SalixPolarisStem_78.22_15.63,SalixPolarisStem,Sbitsbergen,Norway,SalixPolarisStem,6/16/2016,Department_of_Ecology_Biogeochemistry_and_Environmental_Protection_institute_of_Botany_Wroclaw_Poland,Aleksandra_Samecka_Cymerman,aleksandra.samecka-cymerman@uwr.edu.pl,Wotjun2019,78.22,15.63,shrub,Salix polaris,tundra,-999,AMA,24,11,stem,LS,NA,0,1
Arxan1_Greater Khingan Mountains Wetlands_47.3392_120.184,Arxan1,Greater Khingan Mountains Wetlands,China,AES1,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,47.3392,120.184,Herb,NA,Deciduous needleleaf forest,5.00E-05,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",110,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Arxan2_Greater Khingan Mountains Wetlands_47.4443_120.579,Arxan2,Greater Khingan Mountains Wetlands,China,AES2,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,47.4443,120.579,Herb,NA,Deciduous needleleaf forest,5.00E-05,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",170,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Da yangshu_Greater Khingan Mountains Wetlands_50.2275_125.1127,Da yangshu,Greater Khingan Mountains Wetlands,China,DYS,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,50.2275,125.1127,Herb,NA,Deciduous needleleaf forest,5.00E-05,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",50,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Genhe1_Greater Khingan Mountains Wetlands_50.5284_121.0153,Genhe1,Greater Khingan Mountains Wetlands,China,GEH1,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,50.5284,121.0153,Herb,NA,Deciduous needleleaf forest,5.00E-05,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",150,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Ganhe_Greater Khingan Mountains Wetlands_50.6772_123.0965,Ganhe,Greater Khingan Mountains Wetlands,China,GH,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,50.6772,123.0965,Herb,NA,Deciduous needleleaf forest,5.00E-05,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",50,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Chuoyuan_Greater Khingan Mountains Wetlands_48.5502_121.4732,Chuoyuan,Greater Khingan Mountains Wetlands,China,ZY,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,48.5502,121.4732,Shrub,NA,Deciduous needleleaf forest,1.30E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",300,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Kudur_Greater Khingan Mountains Wetlands_49.959_121.1959,Kudur,Greater Khingan Mountains Wetlands,China,KDE,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,49.959,121.1959,Shrub,NA,Deciduous needleleaf forest,1.30E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",120,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Ituri River_Greater Khingan Mountains Wetlands_50.7013_122.0328,Ituri River,Greater Khingan Mountains Wetlands,China,YTLH,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,50.7013,122.0328,Shrub,NA,Deciduous needleleaf forest,1.30E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",120,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Delpur_Greater Khingan Mountains Wetlands_50.8191_120.6567,Delpur,Greater Khingan Mountains Wetlands,China,DEBE,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,50.8191,120.6567,Shrub,NA,Deciduous needleleaf forest,1.30E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",100,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Jinhe1_Greater Khingan Mountains Wetlands_51.2905_121.4093,Jinhe1,Greater Khingan Mountains Wetlands,China,JH1,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,51.2905,121.4093,Shrub,NA,Deciduous needleleaf forest,1.30E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",120,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Tulihe_Greater Khingan Mountains Wetlands_50.4084_122.1463,Tulihe,Greater Khingan Mountains Wetlands,China,TLH,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,50.4084,122.1463,Forest,NA,Deciduous needleleaf forest,3.80E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",400,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Ke Yi River_Greater Khingan Mountains Wetlands_50.6149_122.9424,Ke Yi River,Greater Khingan Mountains Wetlands,China,KYH,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,50.6149,122.9424,Forest,NA,Deciduous needleleaf forest,3.80E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",170,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Qiqian_Greater Khingan Mountains Wetlands_52.3022_121.2815,Qiqian,Greater Khingan Mountains Wetlands,China,QQ,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,52.3022,121.2815,Forest,NA,Deciduous needleleaf forest,3.80E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",310,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Jinhe2_Greater Khingan Mountains Wetlands_51.5345_122.1708,Jinhe2,Greater Khingan Mountains Wetlands,China,JH2,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,51.5345,122.1708,Moss,NA,Deciduous needleleaf forest,2.50E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",240,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Alongshan_Greater Khingan Mountains Wetlands_51.8646_121.856,Alongshan,Greater Khingan Mountains Wetlands,China,ALS,1/1/2017,"Key Laboratory of Regional Environment and Eco-Remediation, Ministry of Education, Shenyang University, Shenyang, 110044, China",Dongmei Zheng,zhengdm126@126.com,Xin_2021,51.8646,121.856,Moss,NA,Deciduous needleleaf forest,2.50E-04,"atomic fluorescence spectrophotometer (AFS-8510, Haiguang Instrument, China)",290,-999,"veg species is reported as ""wetland type"" or most common plant type; AGB is mercury stored in plants",NA,NA,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,1,1990,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,13.19,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,2,1985,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,14.39,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,3,1980,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,11.97,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,4,1975,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,14.81,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,5,1970,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,13.53,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,6,1965,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,13.55,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,7,1960,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,17.34,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,8,1955,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,17.41,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,9,1950,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,19.92,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,10,1945,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,26.22,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Detcheverry Lake_Station_23_53.43333333_-77.55,Station_23,Detcheverry Lake,Canada,11,1940,NA,NA,NA,Zhang_et_al_1995,53.43333333,-77.55,Black Spruce,Piea mariana,NA,-999,NA,23.74,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,12,1880,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,26.85,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,13,1885,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,20.66,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,14,1890,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,23.62,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,15,1895,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,19.76,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,16,1900,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,18.78,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,17,1905,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,21.82,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,18,1910,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,29.86,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,19,1915,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,31.11,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,20,1920,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,37.72,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,21,1925,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,37.98,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,22,1930,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,27.48,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,23,1935,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,20.66,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,24,1940,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,20.74,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,25,1945,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,22.47,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,26,1950,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,22.66,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,27,1955,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,18.83,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,28,1960,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,17.45,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,29,1965,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,19.69,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,30,1970,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,18.27,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,31,1975,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,21.24,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,32,1980,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,21.1,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,33,1985,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,19.35,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Laporte Lake_Station_6_47.2_-76.73333333,Station_6,Laporte Lake,Canada,34,1990,NA,NA,NA,Zhang_et_al_1995,47.2,-76.73333333,Black Spruce,Piea mariana,NA,-999,NA,19.29,-999,Age-dating of tree ring reported; collected 1995; Digitized from Fig 4,NA,Tree Ring,0,1
Alaska_U1_61.25816_-163.24728,U1,Alaska,USA,YKD-U1,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.25816,-163.24728,NA,NA,deciduous shrub,50.92,Nippon MA-3000,6.87,-999,NA,SZ,NA,0,1
Alaska_U1_61.25816_-163.24728,U1,Alaska,USA,YKD-U1,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.25816,-163.24728,NA,NA,evergreen shrub,176.69,Nippon MA-3000,17.46,-999,NA,SZ,NA,0,1
Alaska_U1_61.25816_-163.24728,U1,Alaska,USA,YKD-U1,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.25816,-163.24728,NA,NA,lichen,964.86,Nippon MA-3000,53.91,-999,NA,SZ,NA,0,1
Alaska_U1_61.25816_-163.24728,U1,Alaska,USA,YKD-U1,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.25816,-163.24728,NA,NA,moss,107.54,Nippon MA-3000,147.81,-999,NA,SZ,NA,0,1
Alaska_U2_61.32074_-163.2437,U2,Alaska,USA,YKD-U2,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.32074,-163.2437,NA,NA,deciduous shrub,45.83,Nippon MA-3000,10.9,-999,NA,SZ,NA,0,1
Alaska_U2_61.32074_-163.2437,U2,Alaska,USA,YKD-U2,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.32074,-163.2437,NA,NA,evergreen shrub,131.24,Nippon MA-3000,16.18,-999,NA,SZ,NA,0,1
Alaska_U2_61.32074_-163.2437,U2,Alaska,USA,YKD-U2,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.32074,-163.2437,NA,NA,lichen,1542.49,Nippon MA-3000,52,-999,NA,SZ,NA,0,1
Alaska_U2_61.32074_-163.2437,U2,Alaska,USA,YKD-U2,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.32074,-163.2437,NA,NA,moss,87.65,Nippon MA-3000,179.4,-999,NA,SZ,NA,0,1
Alaska_U3_61.27041_-163.2373,U3,Alaska,USA,YKD-U3,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27041,-163.2373,NA,NA,deciduous shrub,15.2,Nippon MA-3000,10.73,-999,NA,SZ,NA,0,1
Alaska_U3_61.27041_-163.2373,U3,Alaska,USA,YKD-U3,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27041,-163.2373,NA,NA,evergreen shrub,52.4,Nippon MA-3000,17.86,-999,NA,SZ,NA,0,1
Alaska_U3_61.27041_-163.2373,U3,Alaska,USA,YKD-U3,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27041,-163.2373,NA,NA,lichen,710,Nippon MA-3000,33.85,-999,NA,SZ,NA,0,1
Alaska_U3_61.27041_-163.2373,U3,Alaska,USA,YKD-U3,2017,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27041,-163.2373,NA,NA,moss,110,Nippon MA-3000,155.39,-999,NA,SZ,NA,0,1
Alaska_UB1_61.27053_-163.23857,UB1,Alaska,USA,YKD-UB1,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27053,-163.23857,NA,NA,deciduous shrub,50.6,Nippon MA-3000,2.92,-999,NA,SZ,NA,0,1
Alaska_UB1_61.27053_-163.23857,UB1,Alaska,USA,YKD-UB1,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27053,-163.23857,NA,NA,evergreen shrub,529.24,Nippon MA-3000,12.96,-999,NA,SZ,NA,0,1
Alaska_UB1_61.27053_-163.23857,UB1,Alaska,USA,YKD-UB1,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27053,-163.23857,NA,NA,forb,50.43,Nippon MA-3000,11.24,-999,NA,SZ,NA,0,1
Alaska_UB1_61.27053_-163.23857,UB1,Alaska,USA,YKD-UB1,2018,Harvard_University,Scott_Zolkos,szolkos@woodwellclimate.org,Zolkos_2024,61.27053,-163.23857,NA,NA,graminoid,26.41,Nippon MA-3000,4.02,-999,NA,SZ,NA,0,1
